ID_SA,NAME_SA,COUNTRY_SA,THEME_SA,CLASSIFICATION_SA,imageUrl
167,王虹津,臺南市,歌唱,表演藝術,https://cloud.culture.tw/c_upload_busker/performer/personal/image/2017-07-13/d41f8e3e-c881-46a1-8331-b849d55bdad5/e851cfc3990a769f90a05e8e5f1a6f4d.JPG
168,鍾安政,臺南市,薩克斯風吹奏,表演藝術,https://cloud.culture.tw/c_upload_busker/performer/personal/image/2017-07-13/321cdc10-7312-4bbb-9500-2712d8220118/6a90ee0a43bd544871f6afb185616f67.JPG
169,王金良,臺南市,吉他彈奏,表演藝術,https://cloud.culture.tw/c_upload_busker/performer/personal/image/2017-07-13/31d8df62-3f95-45de-8bab-892e84743701/df08f9964309d007b74997e02b7d77bc.JPG
170,黃志強,臺南市,吉他彈唱,表演藝術,https://cloud.culture.tw/c_upload_busker/performer/personal/image/2017-07-13/ec4c6b50-3ac0-4d16-ac01-7bdbf7a0bd06/cd016f1edaa8e2ac473f2a53266af0af.JPG
171,黃禹晸,臺南市,電子琴彈唱,表演藝術,https://cloud.culture.tw/c_upload_busker/performer/personal/image/2017-07-13/f6be8557-930c-44c0-b842-7b099804d1da/087fd60fa2bf5c00a529fbbd5e6bcc94.JPG
172,王炳勳,臺南市,薩克斯風吹奏,表演藝術,https://cloud.culture.tw/c_upload_busker/performer/personal/image/2017-07-13/0ada8384-313c-435a-b4bb-87d4ba33520a/251a33af55c013becfb0ddd93b0710e5.JPG
173,陳慈鳳,臺南市,薩克斯風吹奏,表演藝術,https://cloud.culture.tw/c_upload_busker/performer/personal/image/2017-07-13/a3bb8a03-50a2-464d-994f-47ab8e8e8115/264fff763b941e4f1c7fb3e2f57cfe48.JPG
174,陳宗平,臺南市,薩克斯風吹奏,表演藝術,https://cloud.culture.tw/c_upload_busker/performer/personal/image/2017-07-13/b5ec52ac-b682-4704-9ae3-def009bb10f5/b56ad7defe01af0cd066a2f189fb9288.JPG
175,吳國勝,臺南市,薩克斯風吹奏,表演藝術,https://cloud.culture.tw/c_upload_busker/performer/personal/image/2017-07-13/ed5c1e7c-0f50-481d-89f2-9a0685b0632b/6674d812e739e6ffe65d28a8615fe198.JPG
176,郭崇勝,臺南市,薩克斯風吹奏,表演藝術,https://cloud.culture.tw/c_upload_busker/performer/personal/image/2017-07-13/a0cc0c0f-e9e1-47bb-9a70-2400b7016743/a1fdd22b350bcd2367426b0bc747a6ff.JPG
